Title in English,Title in Arabic,Description,Author,Translator,Publishing House,Date of Publishing,Date of Translation,Translator Gender,Country,Source,Book Cover,Author Image,Genre,Traslator Country,Original Cover,Note,https://www.publishersweekly.com/pw/translation/search/index.html
Book of Disappearance,,,Ibtisam Azem,Sinan Antoon,Syracuse University Press,,2019,Male,Palestine,https://www.publishersweekly.com/pw/translation/search/index.html,https://press.syr.edu/cover/3301.jpg,,Fiction,,,,
Velvet,,,Huzama Habayeb,Kay Keikkinen,Hoopoe,,2019,Female,Palestine,https://www.publishersweekly.com/pw/translation/search/index.html,https://hoopoefiction.com/wp-content/uploads/2019/07/Velvet-with-Saif-Ghobash-Logo-649x1024.jpg,,Fiction,,,,
All that I want to Forget,,"Fatima loves poetry and wants to study French literature—both of which are anathema to her strict and conservative much older brother, Saqr. While living under his roof, Fatima’s hopes and dreams are scrutinized, mocked, and slowly crushed as she is forced into his narrow vision of the right path.
 
 Then Fatima meets Isam, a poet like her; they email love letters to each other and meet in secret. Saqr, however, has other ideas: she is married off to Faris, a complete stranger. He is not the cruel tyrant her brother was, but still she did not choose him.
 
 Will she escape her past to live the life of love and poetry she craves?",Bothayna Al-Essa,Michele Henjum,Hoopoe,,2019,Female,Kuwait,https://www.publishersweekly.com/pw/translation/search/index.html,https://hoopoefiction.com/wp-content/uploads/2019/02/4169083-652x1024.jpg,,Fiction,,,,
Sarab,كبرتُ ونسيت أن أنسى,"November 1979. Violence has broken out in the holiest site of Islam after a charismatic rebel and his devoted followers have announced the coming of the Mahdi and seized the Grand Mosque in Mecca. Among the insurgents is a young woman, Sarab, disguised as a man. As the horror and chaos of the siege reach their peak, she escapes and encounters a French officer from the opposing side. They form an unexpected bond, as hostility turns to attraction, but the violence of both of their pasts will return to haunt them.",Raja Alem,Leri Price,Hoopoe,2013,2018,Female,Saudi Arabia,https://www.publishersweekly.com/pw/translation/search/index.html,https://hoopoefiction.com/wp-content/uploads/2018/09/Sarab-1-649x1024.jpg,http://www.banipal.co.uk/images/contributors/contributor-960-Bothayna--Al-Essa-Buthaina-al-Issa-image1-20190718105229.jpg,Fiction,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385270527l/18879551.jpg,https://twitter.com/abbassooo/status/1006647469298667522?lang=en,book was published in english before arabic
Ghadi and Rawan,,,Fatima Sharafeddine,Sawad Hussain; M. Lynx Qualey;,University of Texas,,2019,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://utpress.utexas.edu/sites/default/files/covers/9781477318522.png,,Fiction,,,,
Celestial Bodies,,,Jokha Alharthi,Marilyn Booth,Catapult,,2019,Female,Oman,https://www.publishersweekly.com/pw/translation/search/index.html,https://cdn.shopify.com/s/files/1/0965/2494/products/Celestial_Bodies_3Dcvr_grande.png?v=1561758936,,Fiction,,,,
"Thirteen Months of Sunrise,",,,Rania Mamoun,Elisabeth Jaquette,Comma Press,,2019,Female,Sudan,https://www.publishersweekly.com/pw/translation/search/index.html,https://commapress.co.uk/books/thirteen-months-of-sunrise/thirteenmonths_final-1/image%2Fspan3,,Fiction,,,,
Minor Detail,,,Adania Shibli,Elisabeth Jaquette,New Directions,,2020,Female,Palestine,https://www.publishersweekly.com/pw/translation/search/index.html,"https://ndbooks.imgix.net/minor_detail.jpg?auto=format&ch=Width,DPR&q=98&w=500",,Fiction,,,,
Ghoul,,,Taghreed Najjar,Michel Moushabeck,Crocodile,,2020,Male,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,,,Children's,,,,
Revolt Against the Sun,,"The Iraqi poet Nazik al-Mala’ika was one of the most important Arab poets of the twentieth century. Over the course of a four-decade career, her contributions to both the theory and the practice of free verse (or tafʿilah) poetry confirmed her position as a pioneer of Arab modernism. Revolt Against the Sun presents a selection of Nazik al-Mala’ika’s poetry in English for the first time. Bringing together poems from each of her published collections, it traces al-Mala’ika’s transformation from a lyrical Romantic poet in the 1940s to a fervently committed Arab nationalist in the 1970s and 1980s. The translations offer both an overview of her life and work, and an insight into the political and social realities in the Arab world in the decades following the Second World War. Featuring a comprehensive historical and critical introduction, this bilingual reader reveals how one woman transformed the landscape of modern Arabic literature and culture in the twentieth century. It is a key resource for students and teachers of Arabic and world literature, as well as for readers interested in discovering an alternative narrative of modern Iraqi culture.",Nazik al-Mala'ika,Emily Drumstra,Saqi,,2020,Female,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,https://17osyg1teaul3pgmn313mq15-wpengine.netdna-ssl.com/wp-content/uploads/Revolt-Against-the-Sun_front-cover-pdf.jpg,,Poetry,,,https://arablit.org/2020/10/10/bulaq-57-revolt-against-the-sun/,
Frightened Ones,,,Dima Wannous,Elisabeth Jaquette,Knopf,,2020,Female,Syria,https://www.publishersweekly.com/pw/translation/search/index.html,https://images1.penguinrandomhouse.com/cover/9780525655138,,Fiction,,,,
Girl with Braided Hair,,,Rasha Adly,Sarah Enany,Hoopoe,,2020,Female,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,https://hoopoefiction.com/wp-content/uploads/2020/08/TheGirlWithTheBraidedHair-649x1024.jpg,,Fiction,,,,
Voices of the Lost,,,Hoda Barakat,Marilyn Booth,Yale University Press,,2021,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,,,Fiction,,,,
"Wondrous Journeys in Strange Lands,",,,Sonia Nimr,Marcia Lynx Quale,Interlink,,2020,Female,Palestine,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2020/03/Wondrous-Journeys-front-final-RGB-600x911.jpg,,Fiction,,,,
All the Women Inside Me,,,Jana Elhassan,Michelle Hartman,Interlink,,2021,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2021/01/9781623718862.jpg,,Fiction,,,,
Mister N,,,Najwa Barakat,Luke Leafgren,And Other Stories,,2022,Male,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,,,Fiction,,,,
Bitter Orange Tree,,,Jokha Alharthi,Marilyn Booth,Catapult,,2022,Female,Oman,https://www.publishersweekly.com/pw/translation/search/index.html,https://cdn.shopify.com/s/files/1/0965/2494/products/BITTERORANGETREE_3dcvr_grande.png?v=1639436981,,Fiction,,,,
The year of the elphant,,,Leila Abouzeid,,,,,,,https://readingwithkt.home.blog/2020/07/21/books-by-women-in-translation-from-arabic/,,,,,,,
The Hidden Face of Eve,الوجه العاري للمرأة العربية,"This powerful account of brutality against women in the Muslim world remains as shocking today as when it was first published, more than a quarter of a century ago. It was the horrific female genital mutilation that she suffered aged only six, which first awakened Nawal el Saadawi's sense of the violence and injustice which permeated her society. Her experiences working as a doctor in villages around Egypt, witnessing prostitution, honour killings and sexual abuse, inspired her to write in order to give voice to this suffering. She goes on explore the causes of the situation through a discussion of the historical role of Arab women in religion and literature.Saadawi argues that the veil, polygamy and legal inequality are incompatible with the just and peaceful Islam which she envisages.",Nawal El Saadawi,Sherif Hetata,Beacon Press,1977,1983,Male,Egypt,https://www.goodreads.com/book/show/23274854-the-hidden-face-of-eve,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411777830l/23274854.jpg,,,Egypt,,Multiple translations,
"The Image, The Icon, and the Covenant",صورة وأيقونة وعهد قديم,"After abandoning his beloved Mariam when she falls pregnant, and escaping her brothers' bullets, Ibrahim abandons his own ideals and dreams of becoming a novelist, opting instead to follow his father's wishes and seek wealth and commercial success abroad. Thirty years later, lonely and disillusioned, Ibrahim returns to Ramallah to retrace the past he tried to leave behind. He sets out on a long and frustrating quest to track down Mariam, which takes him from the West Bank to Israel. Along the way he encounters his son, Michael, a young man with spiritual powers that enable him to see what is unknown and find what has gone missing.


Moving and lyrical, Khalifeh's novel weaves religious and political symbolism into a story of love and loss. At its core is Ibrahim's- the Palestinian's- agonizing but unrelenting search for a home.

",Sahar Khalifeh,Aida Bamia,Interlink Books,2002,2007,Female,Palestine,https://www.interlinkbooks.com/product/image-the-icon-and-the-covenant/,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387653462l/1175927.jpg,,,Palestine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260363693l/7294646.jpg,another translation by AUC,
Prophecy of Pharaoh,نبوءه فرعون,"He was looking back every now and then as if someone was following his footsteps on the road. I got up and followed him outside to the garden and called his name... Yahya... Yahya. He looked back at me more than one, but did not answer me. I said to him, ""it's night time, where are you going, Yahya? As if he did not hear me, he walked on the passageway going outside. At that moment, I don't know why I looked at the floor and saw a snake following him. I screamed with my full voice to wake you all up, but my scream came out at the same moment the bombing happened. i fell to the floor and Yahya was gone.",Maysalun Hadi,Angham Al Tamimi,AuthorHouse,2007,2011,Female,Iraq,https://www.authorhouse.com/en/bookstore/bookdetails/312496-Prophecy-of-Pharaoh,https://s3.amazonaws.com/ASIDigitalAssets/00/00/31/24/96/Cover_l.gif,,,Jordan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372163262l/18129610.jpg,,
In the House of Silence,,"To complement the novels in the ""Arab Women Writers"" series, this is a collection of autobiographical writings by 13 leading Arab women authors. Through these testimonies, the women describe their experiences and expose the often difficult conditions under which their narratives were written. Patterns running throughout include experiences of confinement, subjugation, the struggle for education and the eventual use of writing as an escape. They speak of their own reasons for writing, of how experiences in family life, politics, exile and even imprisonment have affected them and their work, and of how their motivation has been both tested and reinforced by various setbacks and the struggle for recognition.",Fadia Faqir,,Garnet Publishing,,2014,,Jordan,,https://www.garnetpublishing.co.uk/app/uploads/2015/11/house.jpg,,autobiography,,,,
Chaos of the Senses,فوضى الحواس,"Love always sits in a seat other than the one we were expecting it to, right alongside the place where we expected love to be' In the midst of the Algerian civil war, Hayat is a young novelist trapped in a loveless marriage. While her husband, a high-ranking officer, preoccupies himself with politics, Hayat finds freedom from her highly regimented life in the world of her writing. There she weaves a passionate story for her characters. But the line between fiction and reality blurs when she falls for a man who seems to have walked straight out of the pages of her notebook, a man who seduces her, instead of her heroine, with his silence. As love on paper becomes a forbidden love lived out in the dark corners of a broken city, Hayat's country convulses with political upheaval. In a place where those who dare to write the truth are made to pay a heavy price, she and her characters will discover that no one can truly be the author of their own destiny. The second novel in the international bestselling trilogy from 'the literary phenomenon' (Elle), Ahlem Mosteghanemi, Chaos of the Senses is a powerful story of love, identity and liberation.",Ahlem Mosteghanemi,Humphrey Davies,American University in Cairo Press,1997,2007,Male,Algeria,https://www.goodreads.com/book/show/2389865.Chaos_of_the_Senses,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347454024l/2389865.jpg,,,UK,,More than one translation,
Granada,ثلاثية غرناطة,"Radwa Ashour skillfully weaves a history of Granadan rule and an Arabic world into a novel that evokes cultural loss and the disappearance of a vanquished population. The novel follows the family of Abu Jaafar, the bookbinder, his wife, widowed daughter-in-law, her two children, and his two apprentices as they witness Christopher Columbus and his entourage in a triumphant parade featuring exotic plants and animals and human captives from the New World. Embedded in the narrative is the preparation for the marriage of Saad, one of the apprentices, and Saleema, Abu Jaafar's granddaughter -- a scenario that is elegantly revealed in a number of parallel scenes.

As the new rulers of Granada confiscate books and officials burn the collected volumes, Abu Jaafur quietly moves his rich library out of town. Persecuted Muslims fight to form an independent government, but increasing economic and cultural pressures on the Arabs of Spain and Christian rulers culminate in Christian conversions and Muslim uprisings.

A tale that is both vigorous and heartbreaking, this novel will appeal to general readers of Spanish and Arabic literature as well as anyone interested in Christian-Muslim relations.",Radwa Ashour,William Granara,Syracuse University Press,1998,2003,Male,Egypt,https://press.syr.edu/supressbooks/506/granada/,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925554l/218562.jpg,,Fiction,USA,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1290146452l/9730311.jpg,,
The Sea Cloak and Other Stories,عباءة بحر وقصص أخرى,"The Sea Cloak is a collection of 11 stories by the author, journalist, and women’s rights campaigner, Nayrouz Qarmout. Drawing from her own experiences growing up in a Syrian refugee camp, as well as her current life in Gaza, these stories stitch together a patchwork of different perspectives into what it means to be a woman in Palestine today.

Whether following the daily struggles of orphaned children fighting to survive in the rubble of recent bombardments, or mapping the complex, cultural tensions between different generations of refugees in wider Gazan society, these stories offer rare insights into one of the most talked about, but least understood cities in the Middle East. Taken together, the collection affords us a local perspective on a global story, and it does so thanks to a cast of (predominantly female) characters whose vantage point is rooted, firmly, in that most cherished of things, the home. ",Nayrouz Qarmout,Perween Richards,Comma Press,2014,2017,Female,Palestine,https://commapress.co.uk/books/the-sea-cloak/,,,Fiction,UK,,,
Trees for The Absentees,أشجار للناس الغائبين,"Young love, meddling relatives, heart-to-hearts with friends real and imagined – Philistia’s world is that of an ordinary university student, except that in occupied Palestine, and when your father is in indefinite detention, nothing is straightforward.

Philistia is closest to her childhood, and to her late grandmother and her imprisoned father, when she’s at her part-time job washing women’s bodies at the ancient Ottoman hammam in Nablus, the West Bank. A midwife and corpse washer in her time, Grandma Zahia taught Philistia the ritual ablutions and the secrets of the body: the secrets of life and death.

On the brink of adulthood, Philistia embarks on a journey through her country’s history – a magical journey, and one of loss and centuries of occupation.

As trees are uprooted around her, Philistia searches for a place of refuge, a place where she can plant a memory for the ones she’s lost.",Ahlam Bsharat,"Ruth Ahmedzai Kemp, Sue Copeland",Neem Tree Press,2013,2019,Female,Palestine,https://neemtreepress.com/book/trees-for-the-absentees/,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565982297l/51995019._SX318_SY475_.jpg,,Historical Fiction,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371124646l/18071759.jpg,,
Girls of Riyadh,بنات الرياض,"The novel describes the relationship between men and women in Saudi Arabia. Girls of Riyadh tells the story of four college-age high class friends in Saudi Arabia, girls looking for love but stymied by a system that allows them only limited freedoms and has very specific expectations and demands. There's little contact between men and women—especially single teens and adults—but modern technology has changed that a bit (leading to young men trying everything to get women to take down their cellphone numbers). The Internet is also a new medium that can't contain women and their thoughts like the old system could, and the anonymous narrator of the novel takes advantage of that: she presents her stories in the form of e-mails that she sends out weekly to any Saudi address she can find. Sex is described in this novel and the various ways it is thought of before and after marriage. Engaging in pre marital sex in the novel has negative consequences for some of the characters who face rejection as a result. The novel also features instances of arranged and failed marriages and discusses the gamble a Saudi women takes when entering into one. Most of its 50 chapters begin with quotes from Arabic culture and sources. For example, journalists, poets, literature, songs, and the Qur'an.",Rajaa Alsanea,Marilyn Booth,Fig Tree,2005,2008,Female,Saudi Arabia,https://www.penguinrandomhouse.com/books/300281/girls-of-riyadh-by-rajaa-alsanea/,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564603744l/1476261.jpg,,Fiction,,,Multiple translations,
I want to get married,عايزة أتجوز,"The rules may differ from country to country, but the dating game is a universal constant. After years of searching for Mr. Right in living-room meetings arranged by family or friends, Ghada Abdel Aal, a young Egyptian professional, decided to take to the blogosphere to share her experiences and vent her frustrations at being young, single, and female in Egypt. Her blog, I Want to Get Married!, quickly became a hit with both men and women in the Arab world. With a keen sense of humor and biting social commentary, Abdel Aal recounts in painful detail her adventures with failed proposals and unacceptable suitors. There’s Mr. Precious, who storms out during their first meeting when he feels his favorite athlete has been slighted, and another suitor who robs her in broad daylight, to name just a few of the characters she runs across in her pursuit of wedded bliss. I Want to Get Married! has since become a best-selling book in Egypt and the inspiration for a television series. This witty look at dating challenges skewed representations of the Middle East and presents a realistic picture of what it means to be a single young woman in the Arab world, where, like elsewhere, a good man can be hard to find. (less)",Ghada Abdel Aal,Nora ElTahawi,"Center for Middle Eastern Studies, University of Texas at Austin",2008,2010,Female,Egypt,https://utpress.utexas.edu/books/abdiwp,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328021439l/8459138.jpg,,Fiction,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213947860l/3490939.jpg,,
